country,iso3,geo,is_eu27,year,sex,age_group,unemployment_rate
Austria,AUT,AT,True,2023,Total,Overall (15-74),5.1
Austria,AUT,AT,True,2024,Female,Youth (15-24),10.1
Austria,AUT,AT,True,2024,Male,Youth (15-24),10.4
Austria,AUT,AT,True,2024,Total,Youth (15-24),10.3
Austria,AUT,AT,True,2024,Female,Overall (15-74),4.7
Austria,AUT,AT,True,2024,Male,Overall (15-74),5.6
Austria,AUT,AT,True,2024,Total,Overall (15-74),5.2
Austria,AUT,AT,True,2025,Female,Youth (15-24),10.8
Austria,AUT,AT,True,2025,Male,Youth (15-24),12.0
Austria,AUT,AT,True,2025,Total,Youth (15-24),11.5
Austria,AUT,AT,True,2025,Female,Overall (15-74),5.3
Austria,AUT,AT,True,2025,Male,Overall (15-74),6.0
Austria,AUT,AT,True,2025,Total,Overall (15-74),5.7
Belgium,BEL,BE,True,2009,Female,Youth (15-24),22.6
Belgium,BEL,BE,True,2009,Male,Youth (15-24),21.6
Belgium,BEL,BE,True,2009,Total,Youth (15-24),22.0
Belgium,BEL,BE,True,2009,Female,Overall (15-74),8.2
Belgium,BEL,BE,True,2009,Male,Overall (15-74),7.8
Belgium,BEL,BE,True,2009,Total,Overall (15-74),8.0
Belgium,BEL,BE,True,2010,Female,Youth (15-24),22.4
Belgium,BEL,BE,True,2010,Male,Youth (15-24),22.4
Belgium,BEL,BE,True,2010,Total,Youth (15-24),22.4
Belgium,BEL,BE,True,2010,Female,Overall (15-74),8.6
Belgium,BEL,BE,True,2010,Male,Overall (15-74),8.2
Belgium,BEL,BE,True,2010,Total,Overall (15-74),8.4
Belgium,BEL,BE,True,2011,Female,Youth (15-24),18.9
Belgium,BEL,BE,True,2011,Male,Youth (15-24),18.9
Belgium,BEL,BE,True,2011,Total,Youth (15-24),18.9
Belgium,BEL,BE,True,2011,Female,Overall (15-74),7.3
Belgium,BEL,BE,True,2011,Male,Overall (15-74),7.2
Belgium,BEL,BE,True,2011,Total,Overall (15-74),7.2
Belgium,BEL,BE,True,2012,Female,Youth (15-24),19.0
Belgium,BEL,BE,True,2012,Male,Youth (15-24),20.7
Belgium,BEL,BE,True,2012,Total,Youth (15-24),20.0
Belgium,BEL,BE,True,2012,Female,Overall (15-74),7.5
Belgium,BEL,BE,True,2012,Male,Overall (15-74),7.8
Belgium,BEL,BE,True,2012,Total,Overall (15-74),7.6
Belgium,BEL,BE,True,2013,Female,Youth (15-24),22.5
Belgium,BEL,BE,True,2013,Male,Youth (15-24),25.0
Belgium,BEL,BE,True,2013,Total,Youth (15-24),23.9
Belgium,BEL,BE,True,2013,Female,Overall (15-74),8.3
Belgium,BEL,BE,True,2013,Male,Overall (15-74),8.8
Belgium,BEL,BE,True,2013,Total,Overall (15-74),8.6
Belgium,BEL,BE,True,2014,Female,Youth (15-24),22.5
Belgium,BEL,BE,True,2014,Male,Youth (15-24),24.2
Belgium,BEL,BE,True,2014,Total,Youth (15-24),23.4
Belgium,BEL,BE,True,2014,Female,Overall (15-74),8.1
Belgium,BEL,BE,True,2014,Male,Overall (15-74),9.1
Belgium,BEL,BE,True,2014,Total,Overall (15-74),8.7
Belgium,BEL,BE,True,2015,Female,Youth (15-24),20.5
Belgium,BEL,BE,True,2015,Male,Youth (15-24),24.1
Belgium,BEL,BE,True,2015,Total,Youth (15-24),22.5
Belgium,BEL,BE,True,2015,Female,Overall (15-74),7.9
Belgium,BEL,BE,True,2015,Male,Overall (15-74),9.3
Belgium,BEL,BE,True,2015,Total,Overall (15-74),8.7
Belgium,BEL,BE,True,2016,Female,Youth (15-24),18.3
Belgium,BEL,BE,True,2016,Male,Youth (15-24),21.9
Belgium,BEL,BE,True,2016,Total,Youth (15-24),20.3
Belgium,BEL,BE,True,2016,Female,Overall (15-74),7.6
Belgium,BEL,BE,True,2016,Male,Overall (15-74),8.2
Belgium,BEL,BE,True,2016,Total,Overall (15-74),7.9
Belgium,BEL,BE,True,2017,Female,Youth (15-24),18.2
Belgium,BEL,BE,True,2017,Male,Youth (15-24),20.3
Belgium,BEL,BE,True,2017,Total,Youth (15-24),19.4
Belgium,BEL,BE,True,2017,Female,Overall (15-74),7.1
Belgium,BEL,BE,True,2017,Male,Overall (15-74),7.2
Belgium,BEL,BE,True,2017,Total,Overall (15-74),7.2
Belgium,BEL,BE,True,2018,Female,Youth (15-24),15.3
Belgium,BEL,BE,True,2018,Male,Youth (15-24),16.5
Belgium,BEL,BE,True,2018,Total,Youth (15-24),16.0
Belgium,BEL,BE,True,2018,Female,Overall (15-74),5.6
Belgium,BEL,BE,True,2018,Male,Overall (15-74),6.4
Belgium,BEL,BE,True,2018,Total,Overall (15-74),6.0
Belgium,BEL,BE,True,2019,Female,Youth (15-24),12.3
Belgium,BEL,BE,True,2019,Male,Youth (15-24),16.3
Belgium,BEL,BE,True,2019,Total,Youth (15-24),14.5
Belgium,BEL,BE,True,2019,Female,Overall (15-74),5.0
Belgium,BEL,BE,True,2019,Male,Overall (15-74),5.9
Belgium,BEL,BE,True,2019,Total,Overall (15-74),5.5
Belgium,BEL,BE,True,2020,Female,Youth (15-24),15.6
Belgium,BEL,BE,True,2020,Male,Youth (15-24),16.1
Belgium,BEL,BE,True,2020,Total,Youth (15-24),15.9
Belgium,BEL,BE,True,2020,Female,Overall (15-74),5.5
Belgium,BEL,BE,True,2020,Male,Overall (15-74),6.0
Belgium,BEL,BE,True,2020,Total,Overall (15-74),5.8
Belgium,BEL,BE,True,2021,Female,Youth (15-24),16.2
Belgium,BEL,BE,True,2021,Male,Youth (15-24),19.9
Belgium,BEL,BE,True,2021,Total,Youth (15-24),18.2
Belgium,BEL,BE,True,2021,Female,Overall (15-74),5.9
Belgium,BEL,BE,True,2021,Male,Overall (15-74),6.6
Belgium,BEL,BE,True,2021,Total,Overall (15-74),6.3
Belgium,BEL,BE,True,2022,Female,Youth (15-24),14.4
Belgium,BEL,BE,True,2022,Male,Youth (15-24),18.1
Belgium,BEL,BE,True,2022,Total,Youth (15-24),16.4
Belgium,BEL,BE,True,2022,Female,Overall (15-74),5.3
Belgium,BEL,BE,True,2022,Male,Overall (15-74),5.8
Belgium,BEL,BE,True,2022,Total,Overall (15-74),5.6
Belgium,BEL,BE,True,2023,Female,Youth (15-24),14.4
Belgium,BEL,BE,True,2023,Male,Youth (15-24),17.6
Belgium,BEL,BE,True,2023,Total,Youth (15-24),16.1
Belgium,BEL,BE,True,2023,Female,Overall (15-74),5.1
Belgium,BEL,BE,True,2023,Male,Overall (15-74),6.0
Belgium,BEL,BE,True,2023,Total,Overall (15-74),5.5
Belgium,BEL,BE,True,2024,Female,Youth (15-24),14.8
Belgium,BEL,BE,True,2024,Male,Youth (15-24),19.6
Belgium,BEL,BE,True,2024,Total,Youth (15-24),17.4
Belgium,BEL,BE,True,2024,Female,Overall (15-74),5.3
Belgium,BEL,BE,True,2024,Male,Overall (15-74),6.1
Belgium,BEL,BE,True,2024,Total,Overall (15-74),5.7
Belgium,BEL,BE,True,2025,Female,Youth (15-24),15.7
Belgium,BEL,BE,True,2025,Male,Youth (15-24),18.8
Belgium,BEL,BE,True,2025,Total,Youth (15-24),17.4
Belgium,BEL,BE,True,2025,Female,Overall (15-74),5.6
Belgium,BEL,BE,True,2025,Male,Overall (15-74),6.7
Belgium,BEL,BE,True,2025,Total,Overall (15-74),6.2
Bosnia and Herzegovina,BIH,BA,False,2021,Female,Youth (15-24),44.5
Bosnia and Herzegovina,BIH,BA,False,2021,Male,Youth (15-24),34.5
Bosnia and Herzegovina,BIH,BA,False,2021,Total,Youth (15-24),38.3
Bosnia and Herzegovina,BIH,BA,False,2021,Female,Overall (15-74),22.0
Bosnia and Herzegovina,BIH,BA,False,2021,Male,Overall (15-74),14.4
Bosnia and Herzegovina,BIH,BA,False,2021,Total,Overall (15-74),17.4
Bosnia and Herzegovina,BIH,BA,False,2022,Female,Youth (15-24),42.1
Bosnia and Herzegovina,BIH,BA,False,2022,Male,Youth (15-24),31.2
Bosnia and Herzegovina,BIH,BA,False,2022,Total,Youth (15-24),35.1
Bosnia and Herzegovina,BIH,BA,False,2022,Female,Overall (15-74),19.8
Bosnia and Herzegovina,BIH,BA,False,2022,Male,Overall (15-74),12.6
Bosnia and Herzegovina,BIH,BA,False,2022,Total,Overall (15-74),15.4
Bosnia and Herzegovina,BIH,BA,False,2023,Female,Youth (15-24),33.2
Bosnia and Herzegovina,BIH,BA,False,2023,Male,Youth (15-24),28.5
Bosnia and Herzegovina,BIH,BA,False,2023,Total,Youth (15-24),30.1
Bosnia and Herzegovina,BIH,BA,False,2023,Female,Overall (15-74),16.7
Bosnia and Herzegovina,BIH,BA,False,2023,Male,Overall (15-74),10.9
Bosnia and Herzegovina,BIH,BA,False,2023,Total,Overall (15-74),13.2
Bosnia and Herzegovina,BIH,BA,False,2024,Female,Youth (15-24),35.6
Bosnia and Herzegovina,BIH,BA,False,2024,Male,Youth (15-24),27.5
Bosnia and Herzegovina,BIH,BA,False,2024,Total,Youth (15-24),30.2
Bosnia and Herzegovina,BIH,BA,False,2024,Female,Overall (15-74),16.6
Bosnia and Herzegovina,BIH,BA,False,2024,Male,Overall (15-74),10.1
Bosnia and Herzegovina,BIH,BA,False,2024,Total,Overall (15-74),12.6
Bosnia and Herzegovina,BIH,BA,False,2025,Female,Youth (15-24),37.4
Bosnia and Herzegovina,BIH,BA,False,2025,Male,Youth (15-24),30.2
Bosnia and Herzegovina,BIH,BA,False,2025,Total,Youth (15-24),32.5
Bosnia and Herzegovina,BIH,BA,False,2025,Female,Overall (15-74),16.5
Bosnia and Herzegovina,BIH,BA,False,2025,Male,Overall (15-74),9.4
Bosnia and Herzegovina,BIH,BA,False,2025,Total,Overall (15-74),12.2
Bulgaria,BGR,BG,True,2009,Female,Youth (15-24),17.8
Bulgaria,BGR,BG,True,2009,Male,Youth (15-24),20.3
Bulgaria,BGR,BG,True,2009,Total,Youth (15-24),19.4
Bulgaria,BGR,BG,True,2009,Female,Overall (15-74),7.7
Bulgaria,BGR,BG,True,2009,Male,Overall (15-74),8.1
Bulgaria,BGR,BG,True,2009,Total,Overall (15-74),7.9
Bulgaria,BGR,BG,True,2010,Female,Youth (15-24),24.4
Bulgaria,BGR,BG,True,2010,Male,Youth (15-24),25.5
Bulgaria,BGR,BG,True,2010,Total,Youth (15-24),25.1
Bulgaria,BGR,BG,True,2010,Female,Overall (15-74),10.6
Bulgaria,BGR,BG,True,2010,Male,Overall (15-74),12.0
Bulgaria,BGR,BG,True,2010,Total,Overall (15-74),11.3
Bulgaria,BGR,BG,True,2011,Female,Youth (15-24),28.1
Bulgaria,BGR,BG,True,2011,Male,Youth (15-24),28.2
Bulgaria,BGR,BG,True,2011,Total,Youth (15-24),28.2
Bulgaria,BGR,BG,True,2011,Female,Overall (15-74),11.1
Bulgaria,BGR,BG,True,2011,Male,Overall (15-74),13.3
Bulgaria,BGR,BG,True,2011,Total,Overall (15-74),12.3
Bulgaria,BGR,BG,True,2012,Female,Youth (15-24),30.6
Bulgaria,BGR,BG,True,2012,Male,Youth (15-24),31.5
